name,capacity,town,population,roofed,latitude,longitude,fans,reviews,day,date,weekday,weekday_name,weather,cost,availability
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,0,2025-11-25,1,Martes,nublado,5830.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,1,2025-11-26,2,Miércoles,despejado,5830.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,2,2025-11-27,3,Jueves,despejado,7290.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,3,2025-11-28,4,Viernes,nublado,8740.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,4,2025-11-29,5,Sábado,lluvia suave,10200.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,5,2025-11-30,6,Domingo,lluvia,8740.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,6,2025-12-01,0,Lunes,lluvia suave,2910.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,7,2025-12-02,1,Martes,nublado,5830.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,8,2025-12-03,2,Miércoles,nublado,5830.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,9,2025-12-04,3,Jueves,despejado,7290.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,10,2025-12-05,4,Viernes,despejado,8740.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,11,2025-12-06,5,Sábado,despejado,10200.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,12,2025-12-07,6,Domingo,despejado,8740.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,13,2025-12-08,0,Lunes,nublado,2910.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,14,2025-12-09,1,Martes,nublado,5830.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,15,2025-12-10,2,Miércoles,lluvia suave,5830.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,16,2025-12-11,3,Jueves,nublado,7290.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,17,2025-12-12,4,Viernes,lluvia suave,8740.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,18,2025-12-13,5,Sábado,lluvia suave,10200.0,True
Auditori polivalent(Centre Cultural) de Granollers,349,Granollers,64181,True,41.607521318008864,2.282024501418344,447,3.7,19,2025-12-14,6,Domingo,lluvia suave,8740.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,0,2025-11-25,1,Martes,lluvia suave,7840.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,1,2025-11-26,2,Miércoles,nublado,7840.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,2,2025-11-27,3,Jueves,despejado,9800.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,3,2025-11-28,4,Viernes,nublado,11760.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,4,2025-11-29,5,Sábado,lluvia suave,13720.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,5,2025-11-30,6,Domingo,lluvia,11760.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,6,2025-12-01,0,Lunes,lluvia suave,3920.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,7,2025-12-02,1,Martes,nublado,7840.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,8,2025-12-03,2,Miércoles,nublado,7840.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,9,2025-12-04,3,Jueves,despejado,9800.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,10,2025-12-05,4,Viernes,despejado,11760.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,11,2025-12-06,5,Sábado,despejado,13720.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,12,2025-12-07,6,Domingo,despejado,11760.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,13,2025-12-08,0,Lunes,nublado,3920.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,14,2025-12-09,1,Martes,nublado,7840.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,15,2025-12-10,2,Miércoles,lluvia suave,7840.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,16,2025-12-11,3,Jueves,nublado,9800.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,17,2025-12-12,4,Viernes,lluvia suave,11760.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,18,2025-12-13,5,Sábado,lluvia suave,13720.0,True
Auditorio Manuel de Falla(Centro Cultural Manuel de Falla) de Granada,1313,Granada,232717,True,37.17354832838734,-3.588435956233968,66589,4.9,19,2025-12-14,6,Domingo,lluvia suave,11760.0,True
Auditorio Municipal(Ayuntamiento) de Logroño,800,Logroño,151164,True,42.463899616793626,-2.432860060361617,342,3.5,0,2025-11-25,1,Martes,despejado,6720.0,True
Auditorio Municipal(Ayuntamiento) de Logroño,800,Logroño,151164,True,42.463899616793626,-2.432860060361617,342,3.5,1,2025-11-26,2,Miércoles,despejado,6720.0,True
Auditorio Municipal(Ayuntamiento) de Logroño,800,Logroño,151164,True,42.463899616793626,-2.432860060361617,342,3.5,2,2025-11-27,3,Jueves,despejado,8410.0,True
Auditorio Municipal(Ayuntamiento) de Logroño,800,Logroño,151164,True,42.463899616793626,-2.432860060361617,342,3.5,3,2025-11-28,4,Viernes,nublado,10090.0,True
Auditorio Municipal(Ayuntamiento) de Logroño,800,Logroño,151164,True,42.463899616793626,-2.432860060361617,342,3.5,4,2025-11-29,5,Sábado,lluvia suave,11770.0,True
Auditorio Municipal(Ayuntamiento) de Logroño,800,Logroño,151164,True,42.463899616793626,-2.432860060361617,342,3.5,5,2025-11-30,6,Domingo,lluvia,10090.0,True
Auditorio Municipal(Ayuntamiento) de Logroño,800,Logroño,151164,True,42.463899616793626,-2.432860060361617,342,3.5,6,2025-12-01,0,Lunes,lluvia suave,3360.0,True
Auditorio Municipal(Ayuntamiento) de Logroño,800,Logroño,151164,True,42.463899616793626,-2.432860060361617,342,3.5,7,2025-12-02,1,Martes,nublado,6720.0,True
